tx,minute,value,account,side,type,token
6726d5d9303a4c63310dab23b4c77a89b7256808954e447c447f3bbc7964438c,02/13/20 21:43,227.34,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
6e13133051385f819e97104721b1c97fa5a03d183328bcd8b729f050e91f6bc1,02/14/20 1:59,39.33,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
ad526d0ee6a68d3699ad2a7baa8f310dfa5cf529c5494d6613aa198c04e8f88c,02/15/20 5:34,198.69,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocUSDC
14a8a916512147da34ba0dfd53309757de90471c455e6dbcd164b410417baec8,02/15/20 15:43,89.44,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
07fd1d95d27413e8fc09dc15402d35a7f12cb8d15e15a1a0d6889ca6959db3c3,02/15/20 19:10,19.66,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
29c11f3571871c2360237deabf16229cc1576abe643f3a5dda221056c8ec5348,02/15/20 19:57,9.93,97dec872013f6b5fb443861090ad931542878126,buy,put,ocUSDC
74829d18569046281fc339ae7f730e18b53100c61b824163e787af0fbb0666b6,02/16/20 13:01,43.27,2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,buy,put,ocDAI
1cee751e616774454638bafe433e1704885a9e80a8850c4d4a90716276d86b3d,02/16/20 13:20,54.43,0492b9170ec01d91f3aa721ff8ada42dd33fbbb8,sell,put,ocDAI
66c542a8b8f713568379f01f282c21335e3f0f9f0f642466d1507442161e5f0d,02/16/20 13:22,87.06,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
e30b1a480351d6581c1bfd81f391f0289ef0b0669c3828fdd821bdde543ab060,02/16/20 13:45,786.19,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
d829fc9a07d4fd1ca4c7b575ddd847bb0bc6dc575de6f754a6604ab3542557c1,02/17/20 0:39,1.99,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
9e76312467d79923de6a1fd5712390fdf0ab31f7cf1a2aa471a038acbc4c58fa,02/17/20 4:28,433.92,855328ee5e94924cb83b267f25a513c2a2fc3e5e,buy,put,ocDAI
9b3a26800d23062ac4ee33aa11c9180f8aab2188ff36b87cd119dc82cf5708e1,02/17/20 4:30,429.46,855328ee5e94924cb83b267f25a513c2a2fc3e5e,buy,put,ocDAI
05dffdc07ce22e77cbf5c2fd5dede4b76855cdc79fd191f21477b75e05d14efd,02/17/20 4:37,334.34,855328ee5e94924cb83b267f25a513c2a2fc3e5e,buy,put,ocDAI
aab6ebc14adc263cc4fbdc1bd38d313b29ab2e344f119b33781b4ce382a52f83,02/17/20 4:39,321.60,855328ee5e94924cb83b267f25a513c2a2fc3e5e,buy,put,ocDAI
8333ebe27bee69b1b5194a33d6fac82b94083ca2e1154006cfdbfe8e1bcc391e,02/17/20 4:43,88.32,855328ee5e94924cb83b267f25a513c2a2fc3e5e,buy,put,ocDAI
3506e4710d461bb49423ef3af61e762a2982391a1b4f49ffb991661353232071,02/17/20 15:39,0.39,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
e6d6f126d91eaae7db03720d5fc79e20883d15b5eea48a3b5668d44268f99b8f,02/17/20 15:45,0.00,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
2ac9996d40b6bf359457889a1c2b364cd987f99f5c6cb78c60aa4a741a2e3bfc,02/17/20 15:55,0,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
4b8dfb5141bde14d0ef30875bece7adf30f25d758c2c832aacc371fcef6dd1bc,02/17/20 19:19,0.01,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
0265f1847280acb320f486320e1d95673a10dd8e7d5afbf8a98660bb51136857,02/17/20 21:51,4.12,2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,buy,put,ocUSDC
c5cb73ff352214188595a0e4cd622e3e7d7288b3db1f9221147afb388b97cb0d,02/18/20 0:30,1000.01,9e68b67660c223b3e0634d851f5df821e0e17d84,sell,put,ocDAI
db8faf9901497f23fe376d434bde2202d8821d63d88a36c4759afb2a506ff62f,02/18/20 1:01,612.69,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,buy,put,ocDAI
5f94b665f3f31531d54394bf858cdd21b917b2c3e21247cc5c56669f34ae158a,02/18/20 1:25,0.02,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocUSDC
52e6b7ab499979ed331b573af842edcd993197241e070cbc0bb1b2eabd2d428f,02/18/20 19:07,1435.08,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
19454b861869ef8abc21d24b414d87dc130cfa002a2c249740f7cc64b7a619a9,02/18/20 19:19,2039.97,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
77db6a24d3ef5871312975eab7fc9403effe788411b2428bcc4654806ba1a370,02/18/20 20:09,244.87,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
d5c5b826d4a552de48d193ff60e639220bb862788754a0d3c57d137b895ee207,02/18/20 20:44,0.79,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
8377f3ccbb292c92ca9440dc97117bcda1141587007a1da463b25ccb15127836,02/18/20 22:04,7468.90,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
0807e632b5baa6a6b91a95ec6458bdd043352461f4be87330177d76251af8e75,02/18/20 22:05,827.17,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
f4507cad1ce6dcfa2595710c3d6197b7537cde76ae39760d166944dbcb7f2e7a,02/18/20 22:14,6165.83,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
aaa06c84bee5b06a0b5637f32c32d8a78a229cb90d4752c7df3ebf0320b2520c,02/18/20 22:23,2000.00,9e68b67660c223b3e0634d851f5df821e0e17d84,sell,put,ocDAI
25bfcf1231215abb5968a9b45b22b5f72eb4b27ae5b6f2207e95bd14dd7f0601,02/18/20 22:23,89.97,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
e015cc5930b79bbbfe1968cd00117d2fdb105be924baa825a38125187b10d16c,02/18/20 22:57,439.07,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,buy,put,ocDAI
b43109f575bbcfac61c234c11b076a813ee54b56791ca658dba4298635626b04,02/18/20 22:58,960.32,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,buy,put,ocDAI
518cac6207594ae21737267f3398e56c52a3cad4fa9ecfce75571f8deb3cdbdb,02/18/20 23:01,39.17,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,buy,put,ocDAI
dbc9bc539ad70007e41bfcca8fb5d20413194536558e2833a6318685b045ee92,02/18/20 23:02,604.31,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,buy,put,ocDAI
663071e6e29675c9c2cac93f1b5e67f904d95ab5c263eadf741e7786cd15ab2b,02/18/20 23:41,937.56,2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,buy,put,ocDAI
893c0dc911d99ceba106021c7fc99b46f6153349385d0c6da02d0c105f54fe43,02/18/20 23:41,653.67,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
9cb3650022a7d8f03b2024b0f01b222068e7b353eded202dd555aa77625e42d3,02/18/20 23:42,472.17,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
69b4ba7cc5319e7120b28609993c2f6d09cd3582927a2bb83ca4b5c0b755a12c,02/18/20 23:43,357.07,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
5ca4473e573b1d0ba6b739a860748088c8c7bb1588ff5db5576994ed14c2cfaf,02/18/20 23:49,279.50,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
