address,collateral,collateral_token,collateral_value_current,issued,notional_value,ratio,oToken,oToken_group,expired
0xe086…a7ab,0.25,ETH,53.5,991.586538,20.8442256,2.58061,ocUSDC,stablecoin,0
0xc99b…817f,1,ETH,214,3960.034379,83.24422207,2.58472,ocUSDC,stablecoin,0
0x3111…faca,0.1,ETH,21.4,376.478365,7.913983977,2.71877,ocUSDC,stablecoin,0
0x8628…a40d,0.1,ETH,21.4,363.33502,7.637696595,2.81712,ocUSDC,stablecoin,0
0xa6e3…54f3,5,ETH,1070,17694.17735,371.9508185,2.89236,ocUSDC,stablecoin,0
0x2577…6d3f,0.01,ETH,2.14,34.429087,0.7237367885,2.97294,ocUSDC,stablecoin,0
0x0837…0f4f,0.051243,ETH,10.966002,174.434684,3.666806442,3.00687,ocUSDC,stablecoin,0
0x076c…11e4,432,ETH,92448,1455074.348,30587.24257,3.03886,ocUSDC,stablecoin,0
0xfb33…22fe,0.0001,ETH,0.0214,0.318437,0.006693891468,3.21431,ocUSDC,stablecoin,0
0xd0c8…03c5,0.021,ETH,4.494,64.016727,1.345701105,3.35767,ocUSDC,stablecoin,0
0x9e68…7d84,70.65503,ETH,15120.17642,178920.5588,3761.1044,4.04199,ocUSDC,stablecoin,0
0x0ad8…1632,0.2,ETH,42.8,405.74095,8.529115284,5.04538,ocUSDC,stablecoin,0
0xc175…188a,0.001,ETH,0.214,0.259135,0.005447299044,39.49907,ocUSDC,stablecoin,0
0x4be0…ace1,0.1,ETH,21.4,4.415007,0.09280824053,231.83604,ocUSDC,stablecoin,0
0x076c…11e4,171,USDC,171,42750,4275,1,ETH Call $250 05/29/20,oETH,0
0x2c99…c3e6,23,USDC,23,5750,575,1,ETH Call $250 05/29/20,oETH,0
0x4be0…ace1,15,USDC,15,3750,375,1,ETH Call $250 05/29/20,oETH,0
0x0a33…efde,12,USDC,12,3000,300,1,ETH Call $250 05/29/20,oETH,0
0x19ee…3297,11,USDC,11,2750,275,1,ETH Call $250 05/29/20,oETH,0
